review_text
"Battery too good, It Feels Premium, If you are looking for it just go for it. Overall no competition 🔥 Love this one 🫶❤️"
"Definitely one of the best laptop in it's segment. Got it less than 40. This laptop is really a very good choice for students, medium level coders, office usage. Not suggested for gamers, editors or h... more"
"That is nice laptop at this price, if you can find a laptop for college and other work you can choice this laptop Battery 7 -8 hours Display - 4.6/5 Performance- 4.7/5 Gaming- 4.1/5 Office work/codi... more"
Good product with good design and performance. Comparing to other brands it is slightly expensive but I got it with attractive offers.
"Product is slim good for coders and creators Especially for college students, Battery is too Good as per the price with latest processor"
Amazing product. Great performance. Sleek design......Very satisfied with my purchase.
samsung is master of all technologies....❣❣ never doubt on samsung
value for money. keyboard could be better
"After using of almost 3 months, there is no doubt that my decision is right to choose this laptop rather than Lenovo and HP. lapee is sleek, metal body, fast and provide some new features which is hel... more"
"Excellent laptop from samsung, really a unexpected one for college purposes. Bought in big billion sale at 43k then battery works for 7 to 8 hrs in normal usage. Display is good, performance also good... more"
I bought it on sale with a bank offer for 46k (16Gb) best laptop at this price range the overall performance is amazing. The battery is decent one problem is that the speaker grill is present at the ... more
Galaxy book 4 i5 16gb ram Varient. I bought it at 41k ( 49k - 8k sbi CC discount)Apx. in sasa lele sale. Initial review- 1)Screen on time is 6:30 minutes Sleep time is 4:30 minutes. I used 1 hr r... more
This is my first laptop and I loved samsung book 4 i5 13th gen 1335U series processor i purchased this laptop in flipkart GOAT SALE in only 41k and that's is awesome laptop I love this screen and perf... more
Today my laptop delivered. It is awesome 👍😎. I will post Detailed review later after 1 month later. Best build quality. Good looking. It comes with lifetime free ms office.
It is good enough for your daily tasks. Ideal for college students. Value for money. Battery is good. Performance could have been improved.
I got it for 36k and in this budget it is best value for money product
Feels like MacBook 🥰 Performance: 10/10 Battery: 9/10 Display: 10/10 Sound: 7/10 Value for money: 9/10 I'm very happy to share a review for this product. If you are looking for a High performance ... more
"My feedback after 15 days of using it. Got this for 46K during a sale and bank offer. Overall decent product and value for money. Good build quality, good enough screen, good sounding speakers (could ... more"
"Product is good if an only if comes under 46k .Performance is decent, equivalent ryzen processors perform better than this processor.Battery is amazing."
"Got this product in 40k , after 3 month , it runs smooth . No lags , brilliant and sleek design light weight. Everything runs smooth. Battery drainage is low. About 6-7 hours backup that is good. Fast... more"
Samsung Is And Always Be In My ❤️ It's Father Of All Technology Companies 🔥
"Slim body , simple design looks great"
Got this laptop at 43K( 8gb variant). I was lucky enough to get this premium laptop at such a price.
"Bought i5 13th gen, 16gb ram variant for 40k with a CC offer, everything is great just the speaker sound is quite low and the webcam is just 720p which is cheap quality during online conferences or meetings."
"Galaxy Book4 is lightweight, fast, and perfect for students. I use it daily for studies, browsing, and Office work. Battery lasts long, and performance is smooth. Totally worth it!"
"After seven yrears now I have purchased a Laptop. Many things are changed in these years like body slim and thin with light weight,flip boot, inbuilt battery etc. Display is topnoch for viewing media ... more"
"In Love with the device. Grabbed the 16gb Model at only 44k, it has everything thing to make you happy. Display, sound, performance everything top notch. If you see it under 50k do not think for anoth... more"
"Great purchase, just grab it at only 41K in BBD🤩🤩 2024 sale with bank offer price was just droped for sometime 🤭 when the sale started later it was increased, dispay is good, battery is about 5-6 h... more"
"Giving the review after 2 months I want to only say that just go for it if you get it under 45k Display -awesome Battery -easily 6+ hours on normal use ,you can watch 3 movies in single charge at 10%... more"
Just buy today at 53k . Premium look sturdy build and all Ports are there performance i will share after one or two weeks but i can say you a Can buy this very good product
"Honest Review Usage: Office work and Meetings Display: 3/5 ( Average Display but manageable) Battery: 3/5 ( 4 to 5 hours Average Display but manageable) Camera: 0/5 (worst camera ever I seen, just... more"
SUPERB PRODUCT GO FOR IT. VALUE FOR MONEY.
"The Product design is very sleek, it is light in weight and battery backup is also good. I have purchased a 16 gb version so performance is good. Display is bright and clear. Charging time is also fas... more"
Amazing product. Great performance. premium design...... Very satisfied with my purchase.value for money. fast and provide some new features which is helpful for me. Good speakers(Dolby atmos) Displa... more
1 star removed for the flipkart delivery and customer service as it got stuck in local hub for more than 3 days and no status update from flipkart team even after multiple calls to them. Samsung note... more
"Nice laptop with an i5 13 gen 1335u processor, camera should be better. I bought it at 44k . In this price range it is ok . The battery should be improve."
That's price range is perfect for think laptop easyl play free fire max and other game perfect for student awsome laptop
Product is very good butt i got very disappointed with the delivery it was soo bad experience..
This laptop is very good for any work battery life 7to 8hour for study I like this laptop by b.b.d sale by me Value of money go to purchase any doubt.finger print smooth work came all over good I am h... more
"Awesome Laptop.Best product by Samsung. Everything is best. Processor works best. Display is awesome. Speakers are a bit low, but Dolby Atmos works best. Works very smooth."
Going good Battery and Display are amazing Performance is ok for the price I got Overall a decent laptop
"I was confused on asus expertbook p1 and Samsung galaxy book 4 , now I'm happy 😊 to choice Galaxy book 4. I loved it."
Display is good Performance is enough for normal usage Design feels premium I got for 43k i think value for money
Just Amazing 🤩 value for money
It's a great laptop that justifies its price. It has a metal build and feels sturdy while holding in hands with 180 degree flip. Don't think and just go for it
Everything is good. Except the volume of the laptop. The sound is very low playing anything .
Amazing Product Only Fault is Its Battery drain Fast Overall Good product Value for money Best Laptop For Students I will Edit Review After 1 month of use
"Got this in 38k only (16/512, i5 13th Gen). Writing this review after using 10 days. Performance top notch, design decent, camera is not soo good but I don't use laptop camera that much so I am negl... more"
The Best allrounder windows laptop with good battery backup and performance
Very nice product I like it thank you Flipkart
got it at 43.5k very satisfied. battery 6-7 hours easily display is great sound support dolby so u can adjust design gives mac like vibes also it is smooth af.
NICE PRODUCT 😃 VALUE FOR MONEY
"I am a Hp fan till i got this Galaxy book,to be honest i was very afraid and confused of going for any other other brands whether it is. SAMSUNG,ACER ,LENEVO,but trust me the laptop is totally worth ... more"
I love this product i got it at a great price- Here is my honest review after using it for 10 months. 1- Display-4.5/5 (good display color combination is so good) 2- Performance-4/5 ( Good for normal... more
Got this under 40k can't get a deal this amazing at this price range. No laptop can beat the feel and look of this and the sound quality is amazing. If you want a balanced performer and a commendable ... more
Build quality 5/5 Display 5/5 Battery 🔋 5/5 Performance 5/5
"Got this card offer for 41k only, happy with my purchase. Go for this laptop if you are a student and require a thin and light laptop. Since I have a Samsung smartphone it connected swiftly. Display ... more"
What a laptop this is just worth it
"Samsung Galaxy Book 4 is just mind-blowing. If you get a good deal on price, don't miss this. Premium build quality. It sets a benchmark for other laptops in the segment. Underrated laptop. Steal thi... more"
1) Display good according to price range under 45k 2) Slightly heat used with charger but no problem 3) Battery is around 4-5 hr don't expect much battery under this price range 4). Performance is ... more
Best laptop under price Good Display and Desin Best laptop
"I am writing this review after using the product for almost a year. Performance is good, camera quality is okish, sound quality is poor. Video quality is also good. Even after using the dolby feature ... more"
Product is good but sound and camera are very compromising Camera = 1.5/5 Sound = 2.5/5 Battery = 3.5/5
"I recently had the opportunity to assess the device, and I was quite impressed. The design is sleek and modern, making it visually appealing and portable. Furthermore, the performance was smooth, allo... more"
Performance and design of the laptop is good. The speaker is terrible for a laptop. Even a mobile phone speaker is louder and clearer compared to this.
Amazing great product build quality is premium performance display amazing value for money
"I was looking for a 14 inch laptop then my friend suggested this laptop. I decided to go with this laptop. Happy to have this masterpiece. This laptop is slim, low weight, very good display and has sh... more"
"First a lot of thanks to Flipkart, as because I got this laptop at 45k, which was not expectable..... The laptop is the premium segment of the Samsung, the most trusted company with great customer sup... more"
The Samsung Galaxy Book 4 16/512GB is a high-performance laptop designed to compete with other premium models on the market. Light weight and Slim.
Overall a good product for 40K. I5/16GB Cons i that i found : 1. Very very very low sound/volume. Cant hear anything. 2. Display is not black enough. It doesnt go Led black. It has whitish tone. 3. R... more
"The Samsung Galaxy Book 4 is a sleek, reliable laptop with a crisp display, solid performance, and impressive battery life. Its lightweight design makes it easy to carry, while great connectivity opti... more"
Good product but and best price ...I got it in 42k 16/512
Perfect for coding ....... Not expect any kind of gaming or edting
Overall leptop is good. If you are students that is best for you. But leptop cemra is very poor .
"everything is ok ok, sound is below average, my recommendation is to add little extra and go for Macbook. even the old M1 processor with 8gb ram only gives better performance than these budget laptops... more"
"Pros: Liked display of the laptop, outside look is nice. Performance is okay. Cons. Though outside looks are good but it's not sturdy, screen side flap is very light. So, it's a device which need to... more"
"Will just mention the cons of this laptop, rest all is good given the price point. Cons:- 1. Speakers:- The sound quality is not at all good. You'll need a very quiet room to watch a movie. 2. Came... more"
Nice and best laptop in my office and multitasking used
